STATE,COUNTY,GRASS PLANTINGS INTROD(CP1),GRASS PLANTINGS NATIVE (CP2),TREE PLANTINGS SOFTWOODS (CP3),TREE PLANTINGS LONGLEAF PINE (CP3A),TREE PLANTINGS HARDWOODS (CP3A),WILDLIFE HABITAT (CP4D),WILDLIFE CORRIDORS (CP4B),"FIELD
WINDBREAKS
(CP5)","DIVERSIONS
& EROSION
CONTROL
STRUC.
(CP6&CP7)","GRASS
WATERWAYS
(CP8)","SHALLOW
WATER FOR
WILDLIFE
(CP9)","EXISTING
GRASS
(CP10)","EXISTING
TREES
(CP11)","WILDLIFE
FOOD
PLOTS
(CP12)","CONTOUR
GRASS
STRIPS
(CP15)","SHELTER-
BELTS
(CP16)","LIVING
SNOW
FENCES
(CP17)","SALINITY
REDUCING
VEGETATION
(CP18)","FILTER-
STRIPS
(CP21)","RIPARIAN
BUFFERS
3/
(CP22)",WETLAND RESTORATION (CP23) ,WETLAND RESTORATION FLOODPLAIN (CP23) ,WETLAND RESTORATION NON-FLOODPLAIN (CP23A),"CROSS
WIND TRAP
STRIPS
(CP24)","RARE AND
DECLINING
HABITAT
(CP25)","FARMABLE WETLAND
PROGRAM 6 WETLAND (CP27)","FARMABLE WETLAND
PROGRAM BUFFER (CP28)","MARGINAL PASTURE
BUFFERS WILDLIFE (CP29)","MARGINAL PASTURE
BUFFERS WETLAND (CP30)","BOTTOMLAND
HARDWOOD
TREES
(CP31)","UPLAND
BIRD
HABITAT
BUFFERS
(CP33)","LONGLEAF
PINE
(CP36)","DUCK
NESTING
HABITAT
(CP37)","STATE
ACRES FOR
WILDLIFE
ENHANCEMENT
(CP38)",FARMABLE WETLAND PROGRAM CONSTRUCTED WETLANDS (CP39),FARMABLE WETLAND PROGRAM AQUACULTURE WETLANDS (CP40),FARMABLE WETLAND PROGRAM FLOODED PRAIRIE WETLANDS (CP41) ,"POLLINATOR
HABITAT 8/
(CP42)","PRAIRIE STRIPS
(CP43)","CRP
GRASSLANDS - 
INTRODUCED
GRASSES
(CP87)","CRP
GRASSLANDS - 
NATIVE
GRASSES
(CP88)","SOIL HEALTH PERRENIAL CONSERV. COVER
(CP90)",TOTAL
IOWA,CEDAR,"1,201",363,0,0,241,"1,145",,66,,287,90,,,42,180,19,10,,"1,785",274,,213,,,647,86,217,,11,,165,,,"2,810",,,,347,36,,,,"10,235"
IOWA,CERRO GORDO,104,189,0,0,62,729,,349,,164,12,239,,10,7,10,4,,"2,002",218,122,"1,015",25,,479,878,"2,506",17,,21,85,,,"3,393",,,,"2,695",169,,95,3,"15,601"
IOWA,CHEROKEE,13,42,,,,4,,33,,52,5,,,,1,13,,,"1,382",80,,"1,300",186,,67,,,53,,,45,,,"4,590",,,,"2,554",9,,5,,"10,436"
IOWA,CHICKASAW,33,34,4,0,113,10,,421,,754,86,,,7,49,40,27,,"2,761",896,18,710,,,186,144,346,20,7,46,188,,,"4,577",,,,"4,794",359,,,,"16,632"
IOWA,CLARKE,"9,996","2,591",3,0,183,,,18,,26,52,,,93,,,,,197,48,,"1,665",,,"1,992",,,31,,49,13,,,"7,079",,,,"3,977",2,,,,"28,013"
IOWA,CLAY,482,931,0,0,18,81,,75,,165,111,,,4,,45,43,,"1,784",59,,"4,373",443,,14,633,"1,896",163,3,,693,,898,"6,111",19,,,"6,617",19,,187,,"25,865"
IOWA,CLAYTON,"11,321","1,299",13,0,799,389,3,4,,652,78,,,87,267,11,7,,"1,106","1,234",,379,,,"5,081",4,11,2,4,456,150,,,"17,098",,,,"2,234",234,,,,"42,923"
IOWA,CLINTON,"1,173","1,663",0,0,150,383,,59,,205,69,,,15,63,25,5,,"1,315",426,,71,,,199,508,"1,073",5,,25,219,,,"1,884",,,,190,8,,,,"9,732"
IOWA,CRAWFORD,"6,737",677,0,0,4,292,,,,129,,,,14,113,3,,,"1,595",64,,,,,270,,,,,,92,,,"6,758",,,,"1,832",3,,,9,"18,592"
IOWA,DALLAS,515,988,0,0,81,74,,6,,112,,,,27,11,6,5,,"1,547",307,,161,,,608,74,183,,,23,519,,,"3,640",,,,"1,003",20,70,15,,"9,992"
IOWA,DAVIS,"4,079",691,0,0,28,402,,17,,1,16,,,35,5,,,,878,"3,225",11,287,8,,"1,869",131,334,156,26,,160,,,"3,927",,,,307,,,,,"16,592"
IOWA,DECATUR,"7,671","2,001",6,0,190,147,,1,,11,116,,,79,,,,,936,788,,"2,709",,,"3,089",,,39,,105,142,,,"7,673",,,,"3,387",,79,60,6,"29,234"
IOWA,DELAWARE,"1,467",441,22,0,219,301,,55,,"1,169",8,,,23,140,20,,,"2,054",296,,30,,,"1,216",60,107,38,6,3,339,,,"5,668",20,,,"3,017",138,,,2,"16,860"
IOWA,DES MOINES,297,185,0,0,92,120,,5,,67,280,,,15,3,2,,,"1,123",175,13,174,8,,"1,114",21,72,2,,45,547,,,"1,776",,,,"1,287",111,,,,"7,534"
IOWA,DICKINSON,2,,,,,85,,20,,54,28,,,,25,21,14,,480,11,,215,106,,69,348,"1,096",19,11,,78,,220,"2,962",,,,"1,990",,,,,"7,856"
IOWA,DUBUQUE,"2,167","1,104",3,0,335,200,,,,361,11,,3,46,140,4,8,,505,701,,32,,,"1,217",,,2,,138,17,,,"2,091",,,,450,72,,,6,"9,610"
IOWA,EMMET,212,654,,,,257,,48,,55,23,,,2,,22,12,,"1,040",83,9,245,131,,36,355,904,54,5,,188,,405,"2,725",,,,430,7,,,,"7,902"
IOWA,FAYETTE,"3,257",617,0,0,292,141,,120,,"1,024",83,,,20,713,25,1,,"3,879",687,,308,,,"1,399",89,186,30,5,201,270,,,"11,958",5,,,"3,538",151,2,13,16,"29,029"
IOWA,FLOYD,309,18,1,0,347,158,,883,,557,91,12,,34,136,59,0,,"3,480","1,946",9,797,13,,799,531,"1,304",54,2,107,190,,,"8,009",,,,"4,229",600,17,18,1,"24,711"
IOWA,FRANKLIN,262,163,5,0,19,243,,58,,541,83,,,6,82,27,18,,"1,677",339,51,"1,945",,,404,847,"1,841",27,12,17,95,,,"1,977",,,103,"2,250",22,,,7,"13,118"
IOWA,FREMONT,896,511,0,0,6,43,,,,60,290,,,14,18,1,,,"1,234",49,,"1,105",,,196,62,178,12,,,218,,,"1,939",,,,"1,013",15,,,,"7,859"
IOWA,GREENE,10,169,17,0,0,,,9,,425,18,,,4,20,19,,,"1,728",322,28,"1,063",485,,443,394,952,31,2,37,523,,7,"4,329",,,,"2,385",110,,4,5,"13,540"
IOWA,GRUNDY,9,38,7,0,0,,,203,,398,38,,,,5,26,39,,"1,787",450,,"1,127",13,,83,9,24,21,7,45,16,,,"1,351",,,,801,58,96,44,,"6,694"
IOWA,GUTHRIE,"6,770","1,745",0,0,70,170,,,,"1,043",40,,,56,264,47,,,"1,585",109,7,271,8,,"1,029",160,412,20,15,144,264,,,"9,699",,,,"4,806",,352,62,2,"29,148"
IOWA,HAMILTON,,17,,,,66,,5,,338,15,,,1,3,25,6,,"2,664",89,3,115,36,,204,"1,023","2,537",18,,5,647,,,"3,583",,,9,"1,178",,,,,"12,585"
IOWA,HANCOCK,8,178,0,0,8,135,,7,,176,11,,,3,9,33,5,,"2,683",58,44,455,361,,168,"1,193","3,246",10,,,515,,275,"2,644",,,,"1,317",36,,,,"13,578"
IOWA,HARDIN,317,366,2,0,80,123,,35,,333,64,4,,19,1,19,1,,"1,582",142,74,741,51,,461,351,829,36,88,,91,,,"2,384",,,,731,29,,,,"8,953"
IOWA,HARRISON,"1,357",230,0,0,18,147,,22,,284,74,,,,17,3,1,,"1,119",72,,"5,372",,,516,512,"1,377",5,,,402,,,"4,036",,,,"1,306",4,,108,,"16,983"
IOWA,HENRY,"2,087","1,029",6,0,387,328,7,15,,572,969,128,2,87,57,24,,,"2,432",609,123,"1,263",,,"2,950",77,199,,1,,336,,,"9,033",,,,"2,002",212,,,,"24,935"
IOWA,HOWARD,398,132,0,0,66,151,,95,,"1,732",53,,,1,160,20,7,,"2,843","1,769",,398,,,116,442,"1,010",156,149,22,499,,,"7,741",104,,,"6,910",299,,,,"25,274"
IOWA,HUMBOLDT,,27,,,,31,,32,,74,18,2,,1,26,21,,,"1,669",165,27,911,505,,71,737,"1,741",6,62,,290,,4,"1,747",,,,"1,954",49,,,,"10,169"
IOWA,IDA,"2,907",184,,,,,,,,83,,,,,8,14,3,,"1,247",31,,,,,,,,,,,24,,,"2,127",,,,726,,,,5,"7,358"
IOWA,IOWA,"4,997","1,052",8,0,146,986,,2,,55,92,,,60,118,2,,,"1,281",65,54,678,,,"3,053",88,225,7,,3,38,,,"4,682",50,,,"1,356",,,67,,"19,167"
IOWA,JACKSON,"4,160","1,877",8,0,536,854,,28,,181,40,,,79,124,2,,,206,590,,422,,,"1,487",19,28,23,,64,91,,,"1,610",,,,726,1,,,4,"13,158"
IOWA,JASPER,"1,822","1,793",0,0,51,36,,19,,222,129,,,28,85,,3,,"1,718",106,,"1,065",,,"1,218",19,26,7,2,51,2,,,"2,903",,,,806,88,,,2,"12,200"
IOWA,JEFFERSON,"3,412","1,229",0,0,313,"1,836",,12,,176,321,,,103,185,,,,"1,680",568,,"1,010",,,"7,227",250,517,,,114,295,,,"5,355",,,,"2,031",152,,,3,"26,791"
IOWA,JOHNSON,"1,861",607,11,0,282,411,,,,98,120,,,9,262,5,7,,893,66,1,613,,,813,86,165,34,,,262,,,"3,546",,,,836,22,,,,"11,010"
IOWA,JONES,"2,084",802,10,0,102,680,,156,,364,68,,,23,87,6,3,,"1,342",615,,654,,,948,45,88,26,5,200,172,,,"4,817",10,,,527,4,102,,,"13,942"
IOWA,KEOKUK,"6,348","1,366",0,0,264,288,,,,307,363,,,3,27,,,,"1,721",196,,"4,449",,,"1,908",340,723,,,193,208,,,"12,499",,,,"1,275",94,,,24,"32,595"
IOWA,KOSSUTH,94,135,0,0,6,316,13,124,,70,5,,,20,,47,26,,"3,420",69,10,"2,466","2,335",,175,"1,595","4,483",136,14,,160,,130,"7,175",,,,"6,580",18,,21,,"29,641"
IOWA,LEE,"1,031",632,0,0,178,182,,147,,77,284,,,22,25,19,,,"1,367",417,2,589,,,"1,720",8,4,5,5,282,735,,,"5,134",,,,"1,934",89,,,,"14,888"
IOWA,LINN,909,306,14,0,245,115,,123,,211,64,,,3,33,21,6,,"1,246",292,,238,,,341,124,221,8,,76,36,,,"4,414",,,,"1,708",54,,,7,"10,815"
IOWA,LOUISA,376,697,1,0,534,171,,32,,186,242,,,45,60,5,12,,"1,514",207,45,649,,,"1,439",160,438,,12,40,623,,,"4,684",,,,956,116,,,9,"13,252"
IOWA,LUCAS,"7,053","1,168",3,0,176,38,,17,,,83,,,25,,,,,277,432,,503,16,,"1,492",,,19,,10,74,,,"4,194",,,,343,5,,179,4,"16,110"
IOWA,LYON,261,268,,,,,,25,,60,8,,,3,16,14,,,769,54,,131,,,27,10,22,167,18,,76,,,"1,298",,,,132,41,,26,23,"3,446"
IOWA,MADISON,"2,106","1,008",0,0,53,370,,47,,45,30,,,41,49,,,,334,166,,"1,856",,,"3,194",,,119,2,31,487,,,"6,622",,,,"1,821",33,,,,"18,416"
IOWA,MAHASKA,"2,284",607,0,0,106,347,,2,,115,131,,,47,37,,,,"1,683",110,,"2,291",10,,"1,887",3,3,11,,10,107,,,"9,534",4,,,"2,134",49,,,,"21,510"
IOWA,MARION,"4,882","2,391",13,0,250,404,,1,,21,4,,,58,63,,,,604,404,,"3,534",,,"2,568",6,15,,,,102,,,"4,884",,,,"1,429",19,,,,"21,648"
IOWA,MARSHALL,"1,108",348,14,0,165,"1,204",,14,,459,212,,,22,70,16,,,"1,753",33,,"1,654",,,186,31,58,4,,,20,,,"2,089",,,,"1,589",26,9,7,8,"11,099"
IOWA,MILLS,370,982,3,0,6,73,,,,106,152,,,5,68,,,,817,21,,427,,,242,18,23,,,,276,,,"2,522",,,,79,3,,,,"6,192"
IOWA,MITCHELL,74,224,0,0,50,282,,42,,266,64,,,22,,55,6,,"1,132",603,2,122,144,,275,72,162,32,,,274,,,"2,255",,,,"2,800",55,,,,"9,013"
IOWA,MONONA,"3,273",437,0,0,7,,,1,,32,6,,,27,,,,,542,36,,"8,834",,,79,542,"1,584",17,,,177,,,"3,338",,,,"2,908",,21,36,,"21,897"
IOWA,MONROE,"4,325","1,854",2,0,275,242,,4,,,21,46,,109,,,,,200,"1,125",15,"1,832",,,"2,607",2,5,81,,6,104,,,"10,232",,,,"5,228",19,196,23,20,"28,572"
IOWA,MONTGOMERY,"4,161","1,799",0,0,73,667,,,,92,24,,,9,131,3,,,"1,422",124,,50,,,177,,,,,8,83,,,"2,708",,,,757,40,,,,"12,329"
IOWA,MUSCATINE,221,"1,068",3,0,196,371,,59,,228,134,13,,24,9,5,7,,"1,585",234,118,398,,,464,923,"1,828",,49,,242,,,"3,181",,,,575,105,,,,"12,039"
IOWA,O'BRIEN,42,267,,,,22,,16,,181,22,,,10,5,29,,,"2,090",40,,"1,349",209,,146,6,13,109,6,,126,,,"1,057",,,,224,27,,,16,"6,013"
IOWA,OSCEOLA,343,382,,,,5,,81,,140,32,,,4,51,12,21,,"1,714",46,,912,39,,343,108,269,59,31,,239,,,"2,277",,,,732,28,,,7,"7,874"
IOWA,PAGE,"5,339","1,288",0,0,127,50,,,,50,17,,,14,122,,,,"2,021",71,,381,,,731,,,,,,101,,,"1,336",,,,"1,690",64,,,,"13,404"
IOWA,PALO ALTO,103,296,0,0,6,166,26,98,,221,50,13,,13,6,52,36,,"3,706",55,5,"5,257",372,,42,"1,862","4,074",124,18,,121,,851,"5,141",,,,"3,671",73,,47,,"26,505"
IOWA,PLYMOUTH,779,933,0,0,15,422,5,37,,797,,,,10,,49,,,"1,209",164,,591,,,316,,,75,3,,20,,,"1,825",,,,466,16,,154,7,"7,892"
IOWA,POCAHONTAS,56,179,,,,29,,40,,154,41,,,,13,16,27,,"3,432",60,18,"1,197",122,,27,282,731,,,,401,,,"2,133",,,,988,32,,66,13,"10,059"
IOWA,POLK,187,230,0,0,10,115,,3,,42,54,,,6,12,9,6,,345,46,51,705,89,,139,84,192,4,,30,132,,,"1,225",,,,391,11,,,,"4,117"
IOWA,POTTAWATTAMIE,"1,460",913,0,0,30,198,7,4,,167,37,,,2,32,2,,,"1,535",13,,818,11,,592,42,101,11,30,,152,,,"1,917",,,,"1,573",56,,92,22,"9,817"
IOWA,POWESHIEK,"2,290","1,018",0,0,219,252,,1,,35,62,3,,65,19,1,,,"1,787",60,3,63,,,"2,331",,,29,11,22,100,,,"3,779",,,,"1,640",78,,,7,"13,875"
IOWA,RINGGOLD,"13,116","2,001",0,0,68,447,,131,,2,22,,,50,14,,3,,856,261,,"1,167",,,"1,433",,,13,,,147,,,"13,035",,,,"10,489",,40,,,"43,296"
IOWA,SAC,51,136,0,0,5,55,,50,,839,,,,1,19,35,9,,"2,333",162,,545,41,,48,560,"1,430",45,2,,182,,,"3,563",,,,964,31,,,,"11,103"
IOWA,SCOTT,213,196,7,0,37,170,,11,,92,70,,,6,12,15,26,,712,84,,612,,,176,183,383,2,,,90,,,880,,,,549,51,,,,"4,575"
IOWA,SHELBY,"2,501","1,330",3,0,3,56,,5,,936,4,,,8,98,,,,"1,368",24,,,,,777,,,2,,,4,,,"2,193",,,,"2,822",22,,,6,"12,164"
IOWA,SIOUX,271,"1,202",,,,5,,80,,528,27,,,2,72,126,,,"2,270",82,,181,,,19,17,38,17,33,,19,,,"2,196",,,,582,17,,77,,"7,859"
IOWA,STORY,26,35,0,0,35,46,,55,,178,132,,,6,4,29,16,,"1,291",203,,710,,,254,281,589,48,,31,235,,,"2,552",24,,,"2,226",142,34,,,"9,182"
IOWA,TAMA,"1,024",835,0,0,256,654,,,,644,220,,,33,412,26,3,,"1,961",277,8,"1,918",112,,"1,197",125,216,10,,,118,,,"5,547",,,,"1,531",27,,,2,"17,153"
IOWA,TAYLOR,"12,335","1,519",2,0,202,19,,,,17,77,,,25,8,3,,,"2,724",5,,691,,,"4,885",,,11,,,272,,,"9,881",,,,"10,334",68,556,,,"43,633"
IOWA,UNION,"4,263","1,419",7,0,132,,,9,,35,50,,,55,155,,,,996,322,,"1,186",,,"1,714",1,4,373,,,12,,,"7,472",,,,"4,120",8,54,122,,"22,508"
IOWA,VAN BUREN,"1,032","1,416",3,0,950,"1,629",,21,,6,7,,,99,,,3,,493,489,,119,,,"2,924",,0,,,28,431,,,"9,154",10,,,"3,307",,,,58,"22,179"
IOWA,WAPELLO,"1,489","1,759",0,0,295,168,,,,161,204,,,24,95,12,,,"1,715",296,,179,,,"3,206",36,59,,,,391,,,"5,037",,,,"1,780",,,,,"16,905"
IOWA,WARREN,"5,054","2,088",3,0,166,976,,2,,17,234,,,46,0,1,1,,"1,092",97,,"1,896",,,997,3,10,,3,67,68,,,"6,390",,,,"2,811",,111,73,,"22,207"
IOWA,WASHINGTON,"3,925","1,328",0,0,862,564,1,45,,"1,049",383,,,37,246,22,,,"2,784","1,159",23,"3,839",,,"4,168",210,469,,,16,398,,,"10,883",,,,"1,228",182,,,,"33,822"
IOWA,WAYNE,"14,943","2,664",61,0,361,1,,,,,8,6,,60,16,,,,"1,201","1,305",4,"1,506",52,,"2,585",,,179,,4,22,,,"10,919",,,,"1,024",11,351,,,"37,283"
IOWA,WEBSTER,,23,,,,96,,37,,114,55,,,8,15,20,1,,"3,543",24,24,667,271,,174,"1,255","2,616",86,15,,"1,436",,,"2,545",,,,"4,704",10,,,,"17,738"
IOWA,WINNEBAGO,43,246,8,0,41,77,,40,,163,138,44,1,15,2,12,20,,"2,128",10,46,114,43,,54,"1,257","3,372",2,,,189,,346,"3,310",,,,"1,723",,,,,"13,445"
IOWA,WINNESHIEK,514,566,27,0,775,145,,107,,564,15,,,8,138,28,12,,"1,508","2,125",,272,,,"4,313",185,503,77,49,348,162,,,"14,961",144,,,"2,579",370,,,6,"30,499"
IOWA,WOODBURY,"4,281","3,553",0,0,2,148,,7,,138,44,,,17,53,7,,,721,33,,"9,198",,,492,52,18,25,23,3,95,,,"4,498",,,,"6,001",,,,,"29,409"
IOWA,WORTH,21,4,0,0,26,415,,18,,198,33,,,,19,13,13,,"1,692",130,13,148,173,,34,"1,017","2,734",31,,16,50,,107,"1,601",,,,"2,039",25,,,15,"10,582"
IOWA,WRIGHT,14,67,2,0,18,609,,21,,204,139,15,,12,17,17,6,,"2,661",51,72,"1,449",349,,182,"1,240","2,982",4,7,52,392,,88,"2,321",,,,422,21,,,,"13,433"
KANSAS,ALLEN,,97,,,,,,,,8,29,,,5,,,,,113,,,11,,,758,,,,,,210,,,100,,,,,,,,,"1,331"
KANSAS,ANDERSON,31,371,,,,11,,1,,23,10,,,11,,,,,739,55,,133,,,796,,,,,13,781,,,213,,,,18,2,,,,"3,208"
KANSAS,ATCHISON,379,738,,,,1,,,,,,,,6,,,,,53,4,,12,,,314,,,,,,43,,,54,,,,10,2,,,,"1,616"
KANSAS,BARBER,,"1,258",,,,816,,,,,,,,3,,,,,,,,,,,974,,,,,,,,,1,,,,,,,,,"3,052"
KANSAS,BARTON,83,837,,,,"3,492",,9,,76,5,,,22,11,2,,,23,,,15,,4,"4,896",,,,,,261,,,679,,,,43,,,,,"10,458"
KANSAS,BOURBON,9,405,,,,,,,,7,10,,,16,,,,,175,,,,,,"2,379",,,,,,219,,,132,,,,79,,,,,"3,430"
KANSAS,BROWN,405,680,0,0,6,84,,,,,,,,3,,,,,495,17,,13,,,"1,187",12,8,,,,131,,,593,,,,53,8,11,8,,"3,712"
KANSAS,BUTLER,8,29,,,,,,,,30,,,,,,,,,1,,,8,,,93,,,,,,11,,,2,,,,,,,"4,897",,"5,079"
KANSAS,CHASE,,6,,,,,,,,,,,,,,,,,93,9,,90,,,90,,,,,,45,,,65,,,,2,,,272,,672
KANSAS,CHAUTAUQUA,,,,,,,,,,,,,,,,,,,21,,,,,,193,,,,,42,,,,,,,,,,,,,256
KANSAS,CHEROKEE,,,,,,,,,,12,9,,,,,,,,,,,142,,,118,,,,,,55,,,,,,,9,,,,,344
KANSAS,CHEYENNE,,"16,958",,,,741,,,,34,,,,37,4,,,,,,,,187,1,"11,426",6,9,,,,643,,,588,,,,,,,"6,459",,"37,092"
KANSAS,CLARK,160,"2,028",,,,"17,335",,,,,,,,,,,,,,,,244,332,,"2,281",,,,,,15,,,"3,928",,,,,,,"23,823",,"50,146"
KANSAS,CLAY,105,"4,323",0,0,19,"1,049",,,,11,,,,84,,1,,,435,5,,4,,,"1,954",,,,,,89,,,417,,,,106,,4,514,,"9,119"
KANSAS,CLOUD,253,"1,044",,,,"1,038",,2,,1,,,,14,40,,,,13,,,,,,"1,156",,,,,,158,,,231,,,,66,,,,,"4,015"
KANSAS,COFFEY,10,948,,,,131,,38,,118,361,,,19,39,,,,"1,100",31,,518,4,,"6,287",,,,,38,630,,,516,,,,165,,,"1,086",,"12,038"
KANSAS,COMANCHE,,"3,874",,,,"5,919",,,,,,,,5,,,,,,,,,,,675,,,,,,,,,"2,028",,,,27,,,"17,601",,"30,129"
KANSAS,COWLEY,,353,,,,,,,,48,,,,17,,,,,27,12,,95,,,554,,,,,,129,,,72,,,,2,,,982,,"2,292"
KANSAS,CRAWFORD,,41,,,,,,,,73,41,,,,,,,,25,,,,,,"1,479",,,,,,212,,,64,,,,57,,,,,"1,991"
KANSAS,DECATUR,,787,,,,,,,,11,,,,,,7,2,,,,,,,,942,,,,,,22,,,281,,,,435,,,,,"2,487"
KANSAS,DICKINSON,,288,,,,"1,697",,3,,220,,,,88,18,6,,,742,70,,3,,,"11,669",,,,,,207,,,193,,,,77,,,26,,"15,307"
KANSAS,DONIPHAN,697,809,4,0,42,205,,,,10,,,,19,,,,,358,831,,27,29,,"1,031",22,12,,,,158,,,329,,,,41,22,,,,"4,647"
KANSAS,DOUGLAS,102,602,,,,,,,,,,,,1,,,,,82,21,,,29,,429,,0,,,12,78,,,186,7,,,,,,,,"1,548"
KANSAS,EDWARDS,,"9,163",,,,296,,,,,,,,36,,4,,,,,,,99,,"1,343",,,,,,413,,,"3,878",,,,,,,832,,"16,064"
KANSAS,ELK,,644,,,,,,,,,6,,,,,,,,15,,,,,,156,,,,,,6,,,105,,,,,,,982,,"1,914"
KANSAS,ELLIS,23,55,,,,"4,210",,22,,102,,,,17,30,12,,,,,,18,17,,"4,141",,,,,,109,,,"10,043",,,,1,,,"2,290",,"21,091"
KANSAS,ELLSWORTH,,817,,,,"8,304",,,,16,,,,43,,,,,33,,,,,,"5,794",,,,,,60,,,265,,,,74,18,,10,,"15,434"
KANSAS,FINNEY,,"13,548",,,,"3,093",,,,18,,,,12,,6,,,,,,,108,,"13,115",,,,,,70,,,"8,483",,,,,,,"29,520",,"67,973"
KANSAS,FORD,,"1,047",,,,"4,187",,23,,169,,,,18,,17,2,,10,,,226,148,,"7,351",,,,,,84,,,"9,083",,,,,,,"6,722",,"29,087"
KANSAS,FRANKLIN,201,291,0,0,4,4,,,,12,10,,,6,,,,,269,,,,,,917,,,,,,370,,,137,,,,3,,,199,,"2,424"
KANSAS,GEARY,,99,,,,204,,,,,13,,,,,,,,216,5,,,,,"1,076",,,,,,24,,,17,,,,,,,76,,"1,727"
KANSAS,GOVE,,889,,,,"2,959",,9,,13,,,,11,93,1,,,,,,,,,"12,644",,,,,,67,,,"7,860",,,,67,,,"25,885",,"50,498"
KANSAS,GRAHAM,,493,,,,"7,480",,55,,88,,,,94,151,25,7,,,,,17,12,,"25,331",2,2,,,,"1,382",,,"4,746",,,,,,,205,,"40,091"
KANSAS,GRANT,,"14,622",,,,,,,,,,,,17,,,,,,,,,,,"14,397",,,,,,,,,"6,463",,,,,,,"7,941",,"43,440"
KANSAS,GRAY,,"11,318",,,,"2,822",,,,4,,,,17,,4,,,,,,,198,,"9,468",,,,,,144,,,"2,287",,,,,,,"1,700",,"27,963"
KANSAS,GREELEY,,"1,323",,,,37,,,,,,,,,,,,,,,,,64,,"12,600",,,,,,658,,,"1,633",,,,,,,"4,148",,"20,463"
KANSAS,GREENWOOD,,"1,334",,,,,,,,8,10,,,,,,,,58,,,,,,859,,,,,,44,,,8,,,,11,,,"3,067",,"5,399"
KANSAS,HAMILTON,,"70,464",,,,,,,,,,,,,,,,,,,,,,,"8,437",,,,,,,,,"17,838",,,,,,,"64,127",,"160,866"
KANSAS,HARPER,12,"2,353",,,,,,,,7,,,,33,,3,,304,17,,,,,,"3,279",,,,,,66,,,144,,,,,,,,,"6,217"
KANSAS,HARVEY,,515,,,,,,,,71,,,,5,,1,,,221,,,,,,552,,,,,,256,,,139,,,,25,,,,,"1,784"
KANSAS,HASKELL,,"1,426",,,,,,,,,,,,,,,,,,,,,,,"6,964",7,22,,,,,,,"1,377",,,,,,,415,,"10,212"
KANSAS,HODGEMAN,191,"2,654",,,,"5,908",,5,,134,,,,17,21,5,,,117,,,11,144,,"5,584",,,,,,70,,,"30,479",,,,41,,,"7,272",,"52,652"
KANSAS,JACKSON,396,"3,233",0,0,2,34,,,,,,,,16,,,,,430,11,,13,,,"1,588",,,,,,146,,,210,,,,106,,,,,"6,184"
KANSAS,JEFFERSON,399,535,0,0,4,101,,3,,,,,,10,11,,,,56,7,,24,,,983,,,,,,23,,,81,,,,31,,,,,"2,270"
KANSAS,JEWELL,,482,,,,"1,943",,1,,5,,,,38,,,,13,335,,,89,,,"2,845",,,,,,77,,,358,,,,37,6,,"2,348",,"8,576"
KANSAS,JOHNSON,,,,,,,,,,11,,,,,,,,,,6,,,,,28,,,,,,,,,4,,,,,,12,,,61
KANSAS,KEARNY,,"13,018",,,,193,,,,79,,,,1,,,,,,,,,239,,"15,826",,,,,,183,,,"4,424",,,,237,,63,"75,915",,"110,177"
KANSAS,KINGMAN,,"2,375",,,,,,2,,43,10,,,106,22,1,,,16,,,,,,"9,019",1,1,,,,"1,577",,,"1,058",,,,,,,"2,521",,"16,751"
KANSAS,KIOWA,,"17,788",,,,"3,868",,34,,,,,,117,,8,,,17,,,,12,,180,,,,,,446,,,"7,430",,,,7,,,"3,158",,"33,064"
KANSAS,LABETTE,43,118,,,,,,,,91,60,,,,,,,,23,,,274,,,114,,,,,,222,,,127,,,,23,,,,,"1,095"
KANSAS,LANE,,777,,,,"2,725",,,,7,,,,,,10,,,48,,,,392,7,"25,033",,,,,,,,,"7,532",,,,,,,"18,536",,"55,066"
KANSAS,LEAVENWORTH,473,148,,,,15,,,,,,,,4,,,,,164,12,,,,,428,,,,,,29,,,26,,,,20,,,,,"1,317"
KANSAS,LINCOLN,9,76,,,,"4,254",,9,,17,,,,75,50,2,,,307,10,,,90,,"5,365",,,,,,806,,,491,,,,158,,,"1,630",,"13,350"
KANSAS,LINN,39,"1,310",0,0,60,,,,,,12,,,24,,,,,8,20,,56,,,"1,412",,,,,,53,,,239,,,,,,,41,,"3,273"
KANSAS,LOGAN,,,,,,"2,189",,,,16,,,,15,,,,,,,,,45,,"12,378",,,,,,29,,,"6,261",,,,54,,,"27,843",,"48,829"
KANSAS,LYON,191,"2,462",,,,23,,,,9,11,,,12,40,,,,441,35,,110,5,,"3,039",,,,,8,277,,,182,,,,18,,20,"1,215",,"8,097"
KANSAS,MCPHERSON,,895,,,,225,,,,13,,,,25,,2,,,35,,,,,,"2,799",,,,,,180,,,278,,,,36,,,,,"4,487"
KANSAS,MARION,,133,,,,"1,709",,,,243,47,,,25,5,,,,202,,,,,,"1,655",,,,,,201,,,58,,,,5,,,"1,817",,"6,099"
KANSAS,MARSHALL,660,"2,146",0,0,1,569,,3,,14,,,,12,2,3,,,717,136,,,,,"1,509",,,,,4,133,,,556,,,,180,,,274,,"6,918"
KANSAS,MEADE,,"1,752",,,,"5,669",,,,15,,,,,,,,,,,,,696,,"13,813",,,,,,135,,,"11,571",,,,,,,"17,724",,"51,376"
